DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6- Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2018-01-24,10.0,12.7,7.8,9.2,7.0,0.30000000000000004,6.4,4,11.6,,
2018-02-09,40.0,20.0,31.0,21.0,50.0,-0.25,4.2,13,4.0,20.0,
2018-03-07,42.0,,,,66.0,-0.5714285714285714,6.0,277,5.6,,
2018-04-04,190.0,,,,66.0,0.6526315789473685,4.4,132,7.2,7.9,
2018-05-02,134.0,,,,48.0,0.6417910447761195,7.7,340,6.7,,
2018-06-06,190.0,,,,81.0,0.5736842105263158,11.2,79,9.0,,
2018-07-04,138.0,62.0,30.0,23.0,18.5,0.8659420289855072,8.0,196,11.2,80.0,
2018-08-01,70.0,,,,51.0,0.27142857142857146,5.4,78,8.0,,
2018-09-05,148.0,50.0,52.0,58.0,26.0,0.8243243243243243,9.4,62,4.2,,
2018-10-03,15.0,25.0,10.0,3.0,12.0,0.19999999999999996,7.6,22,3.2,2.2,
2018-11-07,108.5,53.0,67.0,18.0,43.0,0.511520737327189,11.6,100,20.0,,
2018-12-05,96.0,31.0,26.0,16.0,17.0,0.8229166666666666,7.6,156,10.0,,
