DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2017-01-04,225.7,50.3,77.3,29.5,87.7,0.6114311032343819,32.1,325.5,17.8,6.1,
2017-02-01,580.5,31.0,24.9,61.5,123.0,0.7881136950904393,61.5,5.0,59.8,,
2017-03-01,238.3,53.9,46.6,48.7,53.9,0.7738145195132187,39.4,440.3,42.0,,
2017-04-05,1170.0,102.0,99.0,43.5,42.0,0.9641025641025641,25.0,380.0,18.5,113.0,
2017-05-03,253.0,,,,85.0,0.6640316205533596,27.8,1720.4,17.7,,"A coleta foi realizado no P6, CBR estava parado."
2017-06-07,250.0,65.0,28.0,26.0,25.0,0.9,6.5,310.0,25.5,,
2017-07-07,406.3,130.0,296.4,72.7,67.9,0.8328821068176224,42.1,544.9,23.4,430.2,
2017-08-02,435.2,,,,114.2,0.7375919117647058,31.4,669.2,89.9,,"A coleta foi realizado no P6, CBR estava parado."
2017-09-06,323.8,253.0,237.8,93.1,255.4,0.21124150710315015,216.1,506.0,75.4,,
2017-10-04,694.4,38.7,79.4,44.6,45.6,0.934331797235023,35.2,545.6,27.3,23.3,
2017-11-01,259.0,79.7,37.8,34.9,99.6,0.6154440154440155,74.7,184.3,39.8,,
2017-12-06,328.0,,,,59.6,0.8182926829268293,22.2,234.3,40.5,,"A coleta foi realizado no P6, CBR estava parado."
