DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,OBSERVAÇÕES
2018-01-11,229999.99999999997,54000.0,0.7652173913043478,11000,919999.9999999999,220.00000000000003,
2018-02-08,330000.0,490.00000000000006,0.9985151515151515,45,1600000.0,2000,
2018-03-08,220000.0,240000.0,-0.09090909090909083,140000,170000.0,390,
2018-04-19,540000.0,350000.0,0.35185185185185186,330,9200000.0,270,
2018-05-11,490000.0,110000.0,0.7755102040816326,490,230000.0,490,
2018-06-14,2400000.0,78.0,0.9999675,9200000,1300.0,240000,
2018-07-12,130000.0,70000.0,0.46153846153846156,68,790000.0,490,
2018-08-09,170000.0,460.0,0.9972941176470588,45,490000.0,330,
2018-09-13,16000000.0,9200.0,0.999425,110,490000.0,20,
2018-10-11,780000.0,9200.0,0.9882051282051282,"<1,8",490000.0,20,
2018-11-08,1100000.0,3500.0,0.9968181818181818,20,330000.0,130,
2018-12-13,1600000.0,33000.0,0.979375,490,490000.0,"< 1,8",
