DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2/P6 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES
2014-01-08,6.8,7.3,7.5,7.6,7.6,7.0,7.2,9.9,x,
2014-02-05,6.9,7.3,7.3,7.4,7.5,7.0,7.1,9.8,x,
2014-03-06,6.8,7.4,7.1,7.2,7.3,7.0,7.4,9.5,x,
2014-04-02,7.2,7.5,7.4,7.5,7.6,7.3,7.6,9.2,x,
2014-05-07,6.9,7.6,7.9,7.8,7.9,7.2,7.3,8.2,x,
2014-06-04,7.2,7.5,7.8,7.8,8.0,7.3,7.2,8.4,x,
2014-07-02,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,6.8,7.5,8.1,8.1,8.1,7.1,7.4,7.7,x,
2014-09-03,7.0,7.4,7.7,7.7,7.8,7.1,7.0,9.3,x,Coleta realizada em 10/09/14
2014-10-01,6.4,7.4,7.6,7.6,7.7,7.0,6.9,7.4,x,
2014-11-05,7.0,7.2,7.4,7.5,7.5,6.9,6.7,7.4,x,
2014-12-04,7.3,7.2,7.3,7.3,7.5,6.8,7.1,7.5,x,
