DATA DA COLETA,P1 - Entrada ETE,P2 - Saída da ETE,ANAL. AMB.,OBSERVAÇÕES DO LAUDO
2013-01-22,1.21,0.21,x,
2013-02-05,0.7,0.31,x,
2013-03-12,1.17,0.37,x,
2013-04-09,,,x,"Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal, pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro."
2013-05-14,1.8,0.49,x,
2013-06-11,4.1,0.37,x,
2013-07-09,2.1,0.6,x,
2013-08-13,1.2,0.28,x,
2013-09-10,1.3,0.15,x,
2013-10-08,1.9,0.14,x,
2013-11-12,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-10,0.95,0.1,x,
