DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial Acesso 1 (trimestral),OBSERVAÇÕES
2017-01-10,45.8,12.7,14.5,5.4,5.7,10.9,19.8,3.3,5.6,
2017-02-07,16.1,10.9,10.9,2.4,3.6,2.5,23.5,11.7,,
2017-03-07,28.0,,,,26.7,7.8,53.6,17.4,,
2017-04-11,68.8,20.4,22.0,8.9,66.5,7.3,240.0,49.3,3.7,
2017-05-09,103.3,,,,9.8,12.0,272.5,23.6,,"A coleta neste dia foi realizada no P6, CBR parado."
2017-06-13,29.8,24.9,14.5,10.6,13.5,9.9,40.9,11.6,,
2017-07-11,71.2,22.4,6.2,62.5,27.8,6.2,312.0,32.9,28.6,
2017-08-08,103.7,,,,24.5,62.2,98.5,50.9,,"A coleta neste dia foi realizada no P6, CBR parado."
2017-09-12,147.3,29.8,88.4,58.0,18.8,36.1,122.3,40.6,,
2017-10-10,50.9,33.0,23.0,28.4,16.9,20.6,91.5,34.0,6.4,
2017-11-07,50.0,333.4,25.9,7.0,282.7,198.5,13.6,8.1,,
2017-12-12,26.5,,,,19.3,7.3,32.3,25.4,,"A coleta neste dia foi realizada no P6, CBR parado."
