PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes
P1,2012-03-23,0.531,,0.034,,,,,,0.024,1050,0.001,,280,734,,0.019,2.11,0.041,0.003,0.125,0.043,0.006,0.003,73,,1011200
P2,2012-03-23,1.84,,0.012,59,0.009,,,0.019,4.04,200,0.017,,32,95.1,,0.034,0.17,0.581,0.042,4.4,0.909,7.2,,69.5,,435200
P1,2012-11-05,0.23,,0.028,0.093,,,,0.001,0.022,295,0.004,,290,750,,0.032,2.22,,,0.181,,,0.003,82.1,,111990
P2,2012-11-05,1.04,0.023,,,,,,,,140,0.01,,92,261,,0.021,7.03,0.068,,0.07,,,0.005,83.8,,98040
P1,2012-09-24,2.03,,0.074,1.2,,,,0.002,0.017,49,0.004,,86,237,,,7.31,,0.002,0.286,,0.002,,22.6,,292400
P2,2012-09-24,0.151,,0.032,0.631,,,,,,37,0.005,,14,42,,,1.67,0.317,0.001,0.123,,0.002,,6.4,,520
P1,2012-01-11,0.267,0.007,0.034,,,,,,,185,,,170,480,,,2.43,,0.001,0.154,,0.002,0.03,70.2,,1986300
P2,2012-01-11,0.131,,0.017,,,,0.005,,,108,,,15,46,,,2.21,0.126,0.002,0.255,,0.002,,51.9,,64880
P1,2013-05-02,0.213,,0.035,0.063,,,0.011,,0.017,0.004,,51,127,,0.018,2.37,"4.30",0.264,0.002,0.1,,,,"52.7","71.7",2419600
P2,2013-05-02,0.145,,0.022,,,,0.011,,0.005,0.004,,12.5,31,,0.022,0.979,"2.40",0.241,0.001,0.11,,,,"17.8","20.0",16100
P1,2013-07-05,1.62,0.002,0.116,,,0.012,,0.002,0.049,0.009,,190,543,,,7.13,2.78,,0.001,0.233,,0.002,0.012,40.9,62.2,2419600
P2,2013-07-05,0.218,0.002,0.036,,,0.003,,,0.009,0.004,,22,65.1,,,0.973,3.02,1.27,0.001,0.201,,0.002,0.004,47.3,47.6,155310
P1,2013-05-08,0.481,0.002,0.049,,,,,0.002,,,,82,231,,0.007,3.09,2.3,,0.002,0.175,,,0.006,10.1,21,721500
P2,2013-05-08,0.065,,0.061,0.037,,,,0.001,,,,17,50,,0.006,1.29,2.78,,0.002,0.404,,,0.035,7.33,14.7,65860
P1,2013-04-11,0.309,,0.478,0.309,0.01,,,,0.183,0.005,,128,294,,0.002,2.71,,6.2,0.002,0.15,,,0.45,35.5,57.1,241960
P2,2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,
