DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial Portão A
2013-01-22,1.21,0.21,x,nan,nan
2013-02-05,0.7,0.31,x,nan,nan
2013-03-12,1.17,0.37,x,nan,nan
2013-04-09,nan,nan,x,Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal. pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro.,nan
2013-05-14,1.8,0.49,x,nan,nan
2013-06-11,4.1,0.37,x,nan,nan
2013-07-09,2.1,0.6,x,nan,nan
2013-08-13,1.2,0.28,x,nan,nan
2013-09-10,1.3,0.15,x,nan,nan
2013-10-08,1.9,0.14,x,nan,nan
2013-11-12,nan,nan,x,À pedido do responsável da empresa Ecovisual. não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção. pois estavam estragados.,nan
2013-12-10,0.95,0.1,x,nan,nan
2014-01-14,1.32,0.11,x,nan,nan
2014-02-05,0.8,0.14,x,nan,nan
2014-03-11,1.1,0.1,x,nan,nan
2014-04-08,0.65,0.1,x,nan,nan
2014-05-13,0.98,0.17,x,nan,nan
2014-06-10,nan,nan,x,Não houve coleta devido justificativa no laudo.,nan
2014-07-08,1.27,0.1,x,nan,nan
2014-08-12,0.73,0.15,x,nan,nan
2014-09-09,0.21,0.1,x,Coleta realizada em 10/09/2014,nan
2014-10-07,1.29,0.1,x,nan,nan
2014-11-11,1.48,0.1,x,nan,nan
2014-12-09,1.22,0.1,x,nan,nan
2014-01-14,1.32,0.11,x,nan,nan
2014-02-05,0.8,0.14,x,nan,nan
2014-03-11,1.1,0.1,x,nan,nan
2014-04-08,0.65,0.1,x,nan,nan
2014-05-13,0.98,0.17,x,nan,nan
2014-06-10,nan,nan,x,Não houve coleta devido justificativa no laudo.,nan
2014-07-08,1.27,0.1,x,nan,nan
2014-08-12,0.73,0.15,x,nan,nan
2014-09-09,0.21,0.1,x,Coleta realizada em 10/09/2014,nan
2014-10-07,1.29,0.1,x,nan,nan
2014-11-11,1.48,0.1,x,nan,nan
2014-12-09,1.22,0.1,x,nan,nan
2015-01-13,0.91,0.1,x,nan,0.47
2015-02-10,1.04,0.1,x,nan,nan
2015-03-10,0.67,0.6,x,nan,nan
2015-04-07,0.82,0.9,x,nan,0.64
2015-05-12,1.02,0.16,x,nan,nan
2015-06-09,1.12,0.67,x,nan,nan
2015-07-07,1.45,0.8,x,nan,0.2
2015-08-11,1.3,0.1,x,nan,nan
2015-09-09,0.84,0.1,x,nan,nan
2015-10-01,0.15,0.42,x,nan,0.1
2015-11-05,0.52,0.1,x,nan,nan
2015-12-04,1.45,0.8,nan,nan,nan
2015-01-13,0.91,0.1,x,nan,0.47
2015-02-10,1.04,0.1,x,nan,nan
2015-03-10,0.67,0.6,x,nan,nan
2015-04-07,0.82,0.9,x,nan,0.64
2015-05-12,1.02,0.16,x,nan,nan
2015-06-09,1.12,0.67,x,nan,nan
2015-07-07,1.45,0.8,x,nan,0.2
2015-08-11,1.3,0.1,x,nan,nan
2015-09-09,0.84,0.1,x,nan,nan
2015-10-01,0.15,0.42,x,nan,0.1
2015-11-05,0.52,0.1,x,nan,nan
2015-12-04,1.45,0.8,nan,nan,nan
2016-01-12,0.64,0.1,nan,nan,0.1
2016-02-11,0.38,0.1,nan,nan,nan
2016-03-08,0.7,0.1,nan,nan,nan
2016-04-12,1.6,0.11,nan,nan,0.1
2016-05-10,0.84,2.03,nan,nan,nan
2016-06-07,1.15,0.1,nan,nan,nan
2016-07-12,1.0,2.4,nan,nan,0.12
2016-08-09,1.1,0.17,nan,nan,nan
2016-09-13,0.42,0.14,nan,nan,nan
2016-10-11,0.63,0.10,nan,nan,0.10
2016-11-08,0.74,0.10,nan,nan,nan
2016-12-13,1.3,0.10,nan,nan,nan
2016-01-12,0.64,0.1,nan,nan,0.1
2016-02-11,0.38,0.1,nan,nan,nan
2016-03-08,0.7,0.1,nan,nan,nan
2016-04-12,1.6,0.11,nan,nan,0.1
2016-05-10,0.84,2.03,nan,nan,nan
2016-06-07,1.15,0.1,nan,nan,nan
2016-07-12,1.0,2.4,nan,nan,0.12
2016-08-09,1.1,0.17,nan,nan,nan
2016-09-13,0.42,0.14,nan,nan,nan
2016-10-11,0.63,0.10,nan,nan,0.10
2016-11-08,0.74,0.10,nan,nan,nan
2016-12-13,1.3,0.10,nan,nan,nan
2017-01-10,0.29,0.1,nan,nan,0.22
2017-02-07,0.43,0.1,nan,nan,nan
2017-03-07,1.57,1.25,nan,nan,nan
2017-04-11,1.96,0.11,nan,nan,0.1
2017-05-09,1.94,2.06,nan,nan,nan
2017-06-13,0.71,0.37,nan,nan,nan
2017-07-11,1.67,0.1,nan,nan,1.16
2017-08-08,1.01,1.44,nan,nan,nan
2017-09-12,1.5,0.1,nan,nan,nan
2017-10-10,1.13,0.11,nan,nan,nan
2017-11-07,0.93,0.12,nan,nan,nan
2017-12-12,0.97,1.47,nan,nan,nan
2017-01-10,0.29,0.1,nan,nan,0.22
2017-02-07,0.43,0.1,nan,nan,nan
2017-03-07,1.57,1.25,nan,nan,nan
2017-04-11,1.96,0.11,nan,nan,0.1
2017-05-09,1.94,2.06,nan,nan,nan
2017-06-13,0.71,0.37,nan,nan,nan
2017-07-11,1.67,0.1,nan,nan,1.16
2017-08-08,1.01,1.44,nan,nan,nan
2017-09-12,1.5,0.1,nan,nan,nan
2017-10-10,1.13,0.11,nan,nan,nan
2017-11-07,0.93,0.12,nan,nan,nan
2017-12-12,0.97,1.47,nan,nan,nan
2018-01-30,0.51,0.1,nan,nan,nan
2018-02-15,1.4,0.12,nan,nan,nan
2018-03-13,1.0,1.95,nan,nan,nan
2018-04-10,0.73,1.9,nan,nan,8.7
2018-05-08,0.82,2.47,nan,nan,nan
2018-06-12,0.5,2.6,nan,nan,nan
2018-07-10,0.43,0.19,nan,nan,0.16
2018-08-07,1.9,2.2,nan,nan,nan
2018-09-11,1.14,0.13,nan,nan,nan
2018-10-09,1.15,0.23,nan,nan,4.55
2018-11-13,1.11,0.11,nan,nan,nan
2018-12-11,1.07,1.7,nan,nan,nan
2018-01-30,0.51,0.1,nan,nan,nan
2018-02-15,1.4,0.12,nan,nan,nan
2018-03-13,1.0,1.95,nan,nan,nan
2018-04-10,0.73,1.9,nan,nan,8.7
2018-05-08,0.82,2.47,nan,nan,nan
2018-06-12,0.5,2.6,nan,nan,nan
2018-07-10,0.43,0.19,nan,nan,0.16
2018-08-07,1.9,2.2,nan,nan,nan
2018-09-11,1.14,0.13,nan,nan,nan
2018-10-09,1.15,0.23,nan,nan,4.55
2018-11-13,1.11,0.11,nan,nan,nan
2018-12-11,1.07,1.7,nan,nan,nan
2019-01-08,0.87,0.93,nan,nan,0.38
2019-02-12,0.62,0.66,nan,nan,nan
2019-03-12,0.64,1.48,nan,nan,nan
2019-04-09,1.46,2.17,nan,nan,3.48
2019-05-07,0.67,1.51,nan,nan,nan
2019-06-11,0.29,0.66,nan,nan,nan
2019-07-09,1.7,2.0,nan,nan,7.2
2019-08-13,0.64,1.24,nan,nan,nan
2019-09-10,1.3,1.4,nan,nan,nan
2019-10-08,0.6,1.65,nan,nan,0.14
2019-11-12,0.56,1.52,nan,nan,nan
2019-12-10,0.63,1.22,nan,nan,nan
